time_since_prelaunched,liked_count,timestamp
2d - 0h - 6m,76,2024-06-01 16:40:00
2d - 0h - 16m,76,2024-06-01 16:50:00
2d - 0h - 26m,76,2024-06-01 17:00:00
2d - 0h - 36m,76,2024-06-01 17:10:00
2d - 0h - 46m,76,2024-06-01 17:20:00
2d - 0h - 56m,76,2024-06-01 17:30:00
2d - 1h - 6m,76,2024-06-01 17:40:00
2d - 1h - 16m,76,2024-06-01 17:50:00
2d - 1h - 26m,76,2024-06-01 18:00:00
2d - 1h - 36m,76,2024-06-01 18:10:00
2d - 1h - 46m,76,2024-06-01 18:20:00
2d - 1h - 56m,76,2024-06-01 18:30:00
2d - 2h - 6m,76,2024-06-01 18:40:00
2d - 2h - 16m,76,2024-06-01 18:50:00
2d - 2h - 26m,76,2024-06-01 19:00:00
2d - 2h - 36m,76,2024-06-01 19:10:00
2d - 2h - 46m,76,2024-06-01 19:20:00
2d - 2h - 56m,76,2024-06-01 19:30:00
2d - 3h - 6m,76,2024-06-01 19:40:00
2d - 3h - 16m,76,2024-06-01 19:50:00
2d - 3h - 26m,77,2024-06-01 20:00:00
2d - 3h - 36m,77,2024-06-01 20:10:00
2d - 3h - 46m,77,2024-06-01 20:20:00
2d - 3h - 56m,77,2024-06-01 20:30:00
2d - 4h - 6m,77,2024-06-01 20:40:00
2d - 4h - 16m,78,2024-06-01 20:50:00
2d - 4h - 26m,78,2024-06-01 21:00:00
2d - 4h - 36m,78,2024-06-01 21:10:00
2d - 4h - 46m,78,2024-06-01 21:20:00
2d - 4h - 56m,78,2024-06-01 21:30:00
2d - 5h - 6m,78,2024-06-01 21:40:00
2d - 5h - 16m,78,2024-06-01 21:50:00
2d - 5h - 26m,78,2024-06-01 22:00:00
2d - 5h - 36m,78,2024-06-01 22:10:00
2d - 5h - 46m,78,2024-06-01 22:20:00
2d - 5h - 56m,78,2024-06-01 22:30:00
2d - 6h - 6m,78,2024-06-01 22:40:00
2d - 6h - 16m,78,2024-06-01 22:50:00
2d - 6h - 26m,78,2024-06-01 23:00:00
2d - 6h - 36m,78,2024-06-01 23:10:00
2d - 6h - 46m,78,2024-06-01 23:20:00
2d - 6h - 56m,78,2024-06-01 23:30:00
2d - 7h - 6m,78,2024-06-01 23:40:00
2d - 7h - 16m,78,2024-06-01 23:50:00
2d - 7h - 26m,78,2024-06-02 00:00:00
2d - 7h - 36m,78,2024-06-02 00:10:00
2d - 7h - 46m,78,2024-06-02 00:20:00
2d - 7h - 56m,78,2024-06-02 00:30:00
2d - 8h - 6m,78,2024-06-02 00:40:00
2d - 8h - 16m,78,2024-06-02 00:50:00
2d - 8h - 26m,78,2024-06-02 01:00:00
2d - 8h - 36m,78,2024-06-02 01:10:00
2d - 8h - 46m,78,2024-06-02 01:20:00
2d - 8h - 56m,78,2024-06-02 01:30:00
2d - 9h - 6m,78,2024-06-02 01:40:00
2d - 9h - 16m,78,2024-06-02 01:50:00
2d - 9h - 26m,78,2024-06-02 02:00:00
2d - 9h - 36m,78,2024-06-02 02:10:00
2d - 9h - 46m,78,2024-06-02 02:20:00
2d - 9h - 56m,78,2024-06-02 02:30:00
2d - 10h - 6m,78,2024-06-02 02:40:00
2d - 10h - 16m,78,2024-06-02 02:50:00
2d - 10h - 26m,78,2024-06-02 03:00:00
2d - 10h - 36m,78,2024-06-02 03:10:00
2d - 10h - 46m,78,2024-06-02 03:20:00
2d - 10h - 56m,78,2024-06-02 03:30:00
2d - 11h - 6m,78,2024-06-02 03:40:00
2d - 11h - 16m,78,2024-06-02 03:50:00
2d - 11h - 26m,78,2024-06-02 04:00:00
2d - 11h - 36m,78,2024-06-02 04:10:00
2d - 11h - 46m,78,2024-06-02 04:20:00
2d - 11h - 56m,78,2024-06-02 04:30:00
2d - 12h - 6m,79,2024-06-02 04:40:00
2d - 12h - 16m,79,2024-06-02 04:50:00
2d - 12h - 26m,79,2024-06-02 05:00:00
2d - 12h - 36m,80,2024-06-02 05:10:00
2d - 12h - 46m,80,2024-06-02 05:20:00
2d - 12h - 56m,80,2024-06-02 05:30:00
2d - 13h - 6m,80,2024-06-02 05:40:00
2d - 13h - 16m,80,2024-06-02 05:50:00
2d - 13h - 26m,80,2024-06-02 06:00:00
2d - 13h - 36m,80,2024-06-02 06:10:00
2d - 13h - 46m,80,2024-06-02 06:20:00
2d - 13h - 56m,80,2024-06-02 06:30:00
2d - 14h - 6m,80,2024-06-02 06:40:00
2d - 14h - 16m,80,2024-06-02 06:50:00
2d - 14h - 26m,81,2024-06-02 07:00:00
2d - 14h - 36m,81,2024-06-02 07:10:00
2d - 14h - 46m,81,2024-06-02 07:20:00
2d - 14h - 56m,81,2024-06-02 07:30:00
2d - 15h - 6m,81,2024-06-02 07:40:00
2d - 15h - 16m,81,2024-06-02 07:50:00
2d - 15h - 26m,81,2024-06-02 08:00:00
2d - 15h - 36m,81,2024-06-02 08:10:00
2d - 15h - 46m,81,2024-06-02 08:20:00
2d - 15h - 56m,81,2024-06-02 08:30:00
2d - 16h - 6m,81,2024-06-02 08:40:00
2d - 16h - 16m,81,2024-06-02 08:50:00
2d - 16h - 26m,80,2024-06-02 09:00:00
2d - 16h - 36m,80,2024-06-02 09:10:00
2d - 16h - 46m,80,2024-06-02 09:20:00
2d - 16h - 56m,80,2024-06-02 09:30:00
2d - 17h - 6m,80,2024-06-02 09:40:00
2d - 17h - 16m,80,2024-06-02 09:50:00
2d - 17h - 26m,80,2024-06-02 10:00:00
2d - 17h - 36m,80,2024-06-02 10:10:00
2d - 17h - 46m,81,2024-06-02 10:20:00
2d - 17h - 56m,81,2024-06-02 10:30:00
2d - 18h - 6m,81,2024-06-02 10:40:00
2d - 18h - 16m,81,2024-06-02 10:50:00
2d - 18h - 26m,81,2024-06-02 11:00:00
2d - 18h - 36m,81,2024-06-02 11:10:00
2d - 18h - 46m,81,2024-06-02 11:20:00
2d - 18h - 56m,81,2024-06-02 11:30:00
2d - 19h - 6m,81,2024-06-02 11:40:00
2d - 19h - 16m,81,2024-06-02 11:50:00
2d - 19h - 26m,81,2024-06-02 12:00:00
2d - 19h - 36m,81,2024-06-02 12:10:00
2d - 19h - 46m,81,2024-06-02 12:20:00
2d - 19h - 56m,81,2024-06-02 12:30:00
2d - 20h - 6m,81,2024-06-02 12:40:00
2d - 20h - 16m,81,2024-06-02 12:50:00
2d - 20h - 26m,81,2024-06-02 13:00:00
2d - 20h - 36m,81,2024-06-02 13:10:00
2d - 20h - 46m,81,2024-06-02 13:20:00
2d - 20h - 56m,81,2024-06-02 13:30:00
2d - 21h - 6m,81,2024-06-02 13:40:00
2d - 21h - 16m,81,2024-06-02 13:50:00
2d - 21h - 26m,81,2024-06-02 14:00:00
2d - 21h - 36m,82,2024-06-02 14:10:00
2d - 21h - 46m,82,2024-06-02 14:20:00
2d - 21h - 56m,82,2024-06-02 14:30:00
2d - 22h - 6m,82,2024-06-02 14:40:00
2d - 22h - 16m,82,2024-06-02 14:50:00
2d - 22h - 26m,82,2024-06-02 15:00:00
2d - 22h - 36m,82,2024-06-02 15:10:00
2d - 22h - 46m,82,2024-06-02 15:20:00
2d - 22h - 56m,82,2024-06-02 15:30:00
2d - 23h - 6m,82,2024-06-02 15:40:00
2d - 23h - 16m,82,2024-06-02 15:50:00
2d - 23h - 26m,82,2024-06-02 16:00:00
2d - 23h - 36m,82,2024-06-02 16:10:00
2d - 23h - 46m,82,2024-06-02 16:20:00
2d - 23h - 56m,82,2024-06-02 16:30:00
3d - 0h - 6m,82,2024-06-02 16:40:00
3d - 0h - 16m,82,2024-06-02 16:50:00
3d - 0h - 26m,84,2024-06-02 17:00:00
3d - 0h - 36m,84,2024-06-02 17:10:00
3d - 0h - 46m,84,2024-06-02 17:20:00
3d - 0h - 56m,84,2024-06-02 17:30:00
3d - 1h - 6m,84,2024-06-02 17:40:00
3d - 1h - 16m,84,2024-06-02 17:50:00
3d - 1h - 26m,84,2024-06-02 18:00:00
